"term","df","sumsq","meansq","statistic","p.value","var"
"disturb_year",1,1.95118329413248,1.95118329413248,420.261270767009,3.36806661136961e-84,"rc"
"site",1,0.652768594389985,0.652768594389985,140.598456239398,2.70583904484145e-31,"rc"
"disturb_year:site",1,1.96890691024905,1.96890691024905,424.078723209398,7.12732246890504e-85,"rc"
"Residuals",1820,8.44987116904679,0.00464278635661911,NA,NA,"rc"
"disturb_year",1,3.26646971640976,3.26646971640976,1078.76409309493,3.44615848852855e-186,"rt"
"site",1,0.636628671725153,0.636628671725153,210.249049070217,3.60826691293387e-45,"rt"
"disturb_year:site",1,0.973579878672546,0.973579878672546,321.528471424502,2.44633046699649e-66,"rt"
"Residuals",1820,5.51091283248953,0.00302797408378546,NA,NA,"rt"
"disturb_year",1,0.633420495614639,0.633420495614639,258.374165332031,1.81669818393946e-54,"rs"
"site",1,0.0533019301259695,0.0533019301259695,21.742020983265,3.34585028721686e-06,"rs"
"disturb_year:site",1,0.0193061766031408,0.0193061766031408,7.87504872375337,0.00506550602398799,"rs"
"Residuals",1820,4.46184431998909,0.00245156281318082,NA,NA,"rs"
"disturb_year",1,1.02305245735106,1.02305245735106,321.943425028853,2.0497869673928e-66,"rrs"
"site",1,0.321509446234438,0.321509446234438,101.17550821182,3.35628613122362e-23,"rrs"
"disturb_year:site",1,1.26708383115956,1.26708383115956,398.737430784754,2.24935379414427e-80,"rrs"
"Residuals",1820,5.78348656200095,0.00317773986923129,NA,NA,"rrs"
