"disturb_year","site","n","M.Huber","lower.ci","upper.ci","var","Letter","MonoLetter","var_sorted"
"2005","N",471,1.16890796186634,1.16100433725728,1.1768115864754,"rc","a","a  ","1_rc"
"2005","S",441,1.06621908259666,1.05835219225878,1.07408597293455,"rc","c","  c","1_rc"
"2012","N",471,1.04170765691444,1.03644454947608,1.0469707643528,"rc","b"," b ","1_rc"
"2012","S",441,1.07106438720413,1.06737501872546,1.07475375568279,"rc","c","  c","1_rc"
"2005","N",471,0.819009014896178,0.813732606911431,0.824285422880924,"rt","a","a  ","0_rt"
"2005","S",441,0.901613852174304,0.895831721545008,0.9073959828036,"rt","c","  c","0_rt"
"2012","N",471,0.947188794378227,0.942273965365273,0.952103623391181,"rt","b"," b ","0_rt"
"2012","S",441,0.938698253468629,0.933604669043765,0.943791837893494,"rt","b"," b ","0_rt"
"2005","N",471,0.955304231241671,0.950722342745632,0.95988611973771,"rs","a","a  ","2_rs"
"2005","S",441,0.961773463852197,0.95726964107127,0.966277286633124,"rs","a","a  ","2_rs"
"2012","N",471,0.9855254620793,0.980518254971489,0.990532669187112,"rs","b"," b ","2_rs"
"2012","S",441,1.00386347868845,0.999630279665087,1.00809667771182,"rs","c","  c","2_rs"
"2005","N",471,0.136219350115815,0.13042641958912,0.14201228064251,"rrs","a","a  ","3_rrs"
"2005","S",441,0.0581947143013741,0.0514054603266987,0.0649839682760496,"rrs","c","  c","3_rrs"
"2012","N",471,0.0388282302555833,0.0339610656499372,0.0436953948612294,"rrs","b"," b ","3_rrs"
"2012","S",441,0.0661841439514027,0.0629083135785205,0.069459974324285,"rrs","c","  c","3_rrs"
