"var","disturb_year","site","n","M.Huber","ci","Letter"
"rc","2005","N",471,1.1689,"(1.161,1.1768)","a"
"rc","2005","S",441,1.0662,"(1.0584,1.0741)","c"
"rc","2012","N",471,1.0417,"(1.0364,1.047)","b"
"rc","2012","S",441,1.0711,"(1.0674,1.0748)","c"
"rt","2005","N",471,0.819,"(0.8137,0.8243)","a"
"rt","2005","S",441,0.9016,"(0.8958,0.9074)","c"
"rt","2012","N",471,0.9472,"(0.9423,0.9521)","b"
"rt","2012","S",441,0.9387,"(0.9336,0.9438)","b"
"rs","2005","N",471,0.9553,"(0.9507,0.9599)","a"
"rs","2005","S",441,0.9618,"(0.9573,0.9663)","a"
"rs","2012","N",471,0.9855,"(0.9805,0.9905)","b"
"rs","2012","S",441,1.0039,"(0.9996,1.0081)","c"
"rrs","2005","N",471,0.1362,"(0.1304,0.142)","a"
"rrs","2005","S",441,0.0582,"(0.0514,0.065)","c"
"rrs","2012","N",471,0.0388,"(0.034,0.0437)","b"
"rrs","2012","S",441,0.0662,"(0.0629,0.0695)","c"
